lon,lat,z_bed_m_ngf
1.874884,45.794031,650.45
1.874944,45.793810,651.87
1.875010,45.793590,651.68
1.875088,45.793372,651.52
1.875151,45.793152,651.53
1.875160,45.792928,650.26
1.875090,45.792713,650.05
1.874844,45.792576,649.58
1.874522,45.792566,648.97
1.874202,45.792589,649.37
1.873885,45.792625,650.45
1.873607,45.792556,650.54
1.873491,45.792352,649.40
1.873442,45.792130,649.55
1.873410,45.791906,648.97
1.873392,45.791682,649.28
1.873382,45.791458,649.17
1.873386,45.791233,649.70
1.873385,45.791009,649.28
1.873398,45.790784,649.09
1.873531,45.790586,649.24
1.873773,45.790439,649.04
1.874062,45.790342,648.90
1.874359,45.790256,649.88
1.874664,45.790184,648.85
1.874977,45.790134,650.21
1.875297,45.790112,649.43
1.875617,45.790132,649.06
1.875930,45.790185,648.93
1.876229,45.790267,649.63
1.876538,45.790332,650.38
1.876807,45.790454,649.46
1.877062,45.790591,651.23
1.877282,45.790754,648.98
1.877503,45.790918,649.22
1.877727,45.791079,649.32
1.877958,45.791234,648.94
1.878219,45.791366,649.06
1.878474,45.791504,649.23
1.878717,45.791651,648.99
1.878969,45.791791,649.51
1.879186,45.791956,649.01
1.879427,45.792105,649.32
1.879664,45.792257,648.85
1.879896,45.792413,649.01
1.880059,45.792603,649.32
1.880209,45.792793,648.99
1.880483,45.792905,649.09
1.880779,45.792994,649.23
1.881091,45.793051,650.57
1.881403,45.793105,649.04
1.881715,45.793160,649.32
1.882027,45.793216,649.25
1.882333,45.793280,649.32
1.882472,45.793482,649.20
1.882517,45.793697,649.45
1.882478,45.793919,649.32
1.882526,45.794140,648.87
1.882687,45.794331,649.73
1.883004,45.794365,649.32
1.883325,45.794388,649.03
1.883635,45.794443,649.08
1.883910,45.794552,649.61
1.884126,45.794718,648.96
1.884252,45.794922,648.95
1.884401,45.795119,648.87
1.884565,45.795310,648.99
1.884598,45.795532,649.26
1.884529,45.795751,649.22
1.884443,45.795965,649.10
1.884429,45.796190,648.93
1.884486,45.796410,648.91
1.884566,45.796628,649.32
1.884697,45.796833,649.32
1.884845,45.797032,649.28
1.885035,45.797211,649.20
1.885330,45.797238,648.91
1.885599,45.797115,648.87
1.885877,45.797003,648.97
1.886164,45.796899,649.55
1.886457,45.796810,649.73
1.886776,45.796811,649.29
1.887093,45.796851,649.32
1.887393,45.796931,649.28
1.887675,45.797039,649.02
1.887946,45.797160,649.62
1.888228,45.797268,649.51
1.888512,45.797373,649.66
1.888814,45.797446,649.20
1.889101,45.797352,649.24
1.889417,45.797374,649.25
1.889667,45.797516,649.08
1.889902,45.797669,649.53
1.890116,45.797836,649.02
1.890264,45.798035,649.04
1.890349,45.798250,649.32
1.890185,45.798439,649.52
1.890198,45.798653,648.96
1.890327,45.798858,649.72
1.890427,45.799065,649.05
1.890127,45.799100,648.95
1.889841,45.799000,649.32
1.889563,45.798888,649.57
1.889259,45.798814,651.54
1.888941,45.798782,652.61
1.888631,45.798834,651.34
1.888388,45.798978,649.31
1.888275,45.799185,649.55
1.888387,45.799386,651.32
1.888669,45.799488,649.54
1.888977,45.799554,649.32
1.889284,45.799622,649.23
1.889586,45.799699,648.90
1.889835,45.799838,649.62
1.889870,45.800054,648.87
1.889788,45.800270,649.10
1.889716,45.800489,649.55
1.889753,45.800710,649.74
1.889973,45.800870,650.16
1.890169,45.801044,649.86
1.890281,45.801254,649.07
1.890333,45.801475,649.18
1.890448,45.801682,649.86
1.890629,45.801867,649.62
1.890755,45.802067,649.50
1.890571,45.802220,648.94
1.890249,45.802220,649.16
1.889927,45.802223,648.99
1.889605,45.802231,650.13
1.889293,45.802278,649.12
1.889101,45.802448,649.30
1.889150,45.802667,649.20
1.889391,45.802801,649.27
1.889641,45.802702,648.97
1.889934,45.802617,648.87
1.890253,45.802601,649.32
1.890556,45.802670,649.25
1.890868,45.802694,649.35
1.891176,45.802716,649.14
1.891438,45.802847,649.22
1.891737,45.802928,649.28
1.891972,45.803079,648.86
1.892081,45.803288,650.31
1.892096,45.803512,649.27
1.892136,45.803734,649.93
1.892342,45.803895,649.96
1.892662,45.803903,649.87
1.892977,45.803855,649.93
1.893255,45.803955,649.49
1.893440,45.804138,649.25
1.893583,45.804338,649.21
1.893751,45.804529,649.07
1.893531,45.804627,648.88
1.893247,45.804528,649.17
1.892944,45.804466,648.97
1.892647,45.804536,649.35
1.892573,45.804751,649.59
1.892589,45.804975,650.05
1.892667,45.805192,649.85
1.892721,45.805412,650.09
1.892635,45.805628,649.58
1.892509,45.805834,649.18
1.892384,45.806041,648.91
1.892224,45.806215,649.32
1.892294,45.806009,648.88
1.892394,45.805797,648.94
1.892271,45.805601,649.33
1.892053,45.805435,649.41
1.891829,45.805274,649.12
1.891556,45.805159,649.18
1.891237,45.805141,649.25
1.890921,45.805174,649.40
1.890627,45.805264,649.20
1.890316,45.805313,649.28
1.890141,45.805497,649.51
1.889970,45.805687,649.43
1.889670,45.805740,649.32
1.889372,45.805753,649.20
1.889249,45.805959,649.32
1.889251,45.806180,649.30
1.889429,45.806365,649.33
1.889659,45.806522,649.53
1.889892,45.806677,649.60
1.890124,45.806833,649.73
1.890384,45.806957,649.42
1.890684,45.806885,649.12
1.890998,45.806871,649.25
1.891304,45.806807,648.94
1.891618,45.806758,649.04
1.891938,45.806732,649.14
1.892089,45.806578,649.32
1.892196,45.806556,649.32
1.892175,45.806775,649.99
1.892417,45.806921,649.32
1.892606,45.807102,649.03
1.892732,45.807308,649.15
1.892829,45.807522,648.91
1.892891,45.807742,649.27
1.892931,45.807965,649.66
1.892930,45.808190,649.75
1.892917,45.808414,649.27
1.892875,45.808636,649.94
1.892758,45.808843,649.43
1.892548,45.809012,649.22
1.892307,45.809161,649.46
1.892079,45.809317,649.22
1.892030,45.809537,649.20
1.892016,45.809762,649.24
1.892194,45.809925,649.12
1.892312,45.810067,649.22
1.892417,45.810254,649.41
1.892736,45.810268,649.16
1.893042,45.810303,649.28
1.893341,45.810332,649.43
1.893653,45.810378,649.25
1.893970,45.810349,649.09
1.894219,45.810210,649.17
1.894411,45.810030,648.97
1.894399,45.809807,648.86
1.894528,45.809612,649.15
1.894684,45.809418,649.26
1.894796,45.809207,648.87
1.894899,45.808994,648.91
1.895134,45.808881,649.88
1.895447,45.808912,649.85
1.895740,45.809005,650.07
1.896039,45.809083,649.88
1.896359,45.809110,649.63
1.896681,45.809113,649.75
1.896997,45.809075,649.71
1.897311,45.809027,649.77
1.897631,45.809018,649.93
1.897893,45.809124,649.10
1.898108,45.809285,649.09
1.898408,45.809366,648.92
1.898710,45.809442,649.22
1.898948,45.809589,649.39
1.899167,45.809748,649.38
1.899468,45.809828,650.45
1.899756,45.809928,649.94
1.899958,45.810091,649.17
1.899874,45.810290,649.99
1.899571,45.810329,649.26
1.899288,45.810238,650.19
1.899000,45.810319,649.90
1.898767,45.810473,649.30
1.898715,45.810689,649.35
1.898962,45.810818,649.32
1.899277,45.810788,648.92
1.899587,45.810726,649.51
1.899901,45.810732,649.85
1.900198,45.810818,650.50
1.900507,45.810876,649.13
1.900822,45.810900,649.45
1.901099,45.811014,649.66
1.901363,45.811142,649.03
1.901625,45.811271,649.14
1.901936,45.811271,649.35
1.902237,45.811197,649.78
1.902533,45.811256,648.89
1.902780,45.811400,648.88
1.903004,45.811561,649.01
1.903107,45.811770,649.32
1.903110,45.811995,649.09
1.903092,45.812218,648.91
1.903062,45.812442,648.95
1.903029,45.812666,648.86
1.902993,45.812889,650.14
1.902938,45.813110,649.78
1.902862,45.813325,649.94
1.902981,45.813530,649.29
1.902957,45.813753,648.88
1.902923,45.813977,648.96
1.902893,45.814200,649.20
1.902956,45.814416,648.96
1.903093,45.814619,648.97
1.903290,45.814795,649.55
1.903579,45.814865,649.14
1.903890,45.814836,649.32
1.904170,45.814734,649.09
1.904491,45.814744,649.10
1.904803,45.814731,649.15
1.905103,45.814810,649.06
1.905378,45.814890,649.23
1.905689,45.814912,649.01
1.905981,45.814975,649.17
1.906189,45.815092,649.27
1.906505,45.815116,649.12
1.906662,45.815215,649.28
1.906935,45.815250,649.32
1.907054,45.815092,649.83
1.906831,45.814931,648.91
1.906698,45.814774,649.34
1.906695,45.814557,648.90
1.906886,45.814386,649.48
1.906823,45.814214,650.07
1.906602,45.814103,649.51
1.906435,45.813917,649.51
1.906223,45.813748,649.84
1.906046,45.813561,649.14
1.905940,45.813350,649.00
1.905860,45.813132,649.32
1.905767,45.812917,648.85
1.905619,45.812719,650.44
1.905446,45.812530,649.46
1.905288,45.812334,649.54
1.905169,45.812126,649.26
1.905068,45.811912,649.80
1.904968,45.811699,649.37
1.904850,45.811490,648.96
1.904758,45.811276,649.55
1.904760,45.811052,649.47
1.904589,45.810876,649.80
1.904423,45.810686,649.49
1.904325,45.810472,649.04
1.904175,45.810276,650.08
1.904025,45.810098,649.72
1.903766,45.809975,649.41
1.903547,45.809814,648.98
1.903494,45.809595,649.17
1.903633,45.809410,648.97
1.903924,45.809315,649.32
1.904135,45.809146,649.60
1.904317,45.808961,649.14
1.904511,45.808781,648.96
1.904683,45.808593,649.12
1.904788,45.808381,649.25
1.904834,45.808159,649.14
1.904904,45.807940,649.32
1.905002,45.807726,649.38
1.905105,45.807513,649.32
1.905209,45.807301,649.15
1.905332,45.807094,649.57
1.905467,45.806890,648.87
1.905608,45.806688,648.96
1.905755,45.806488,649.26
1.905875,45.806281,649.05
1.906073,45.806104,648.95
1.906279,45.805931,649.31
1.906420,45.805732,649.11
1.906396,45.805509,649.41
1.906264,45.805311,649.42
1.906039,45.805154,648.89
1.905948,45.804941,649.15
1.905997,45.804721,649.04
1.906149,45.804523,648.99
1.906376,45.804366,649.12
1.906692,45.804344,649.38
1.907011,45.804372,651.63
1.907333,45.804369,651.36
1.907653,45.804345,649.38
1.907939,45.804251,649.33
1.908167,45.804095,649.19
1.908343,45.803907,649.15
1.908354,45.803695,649.32
1.908324,45.803474,649.80
1.908489,45.803286,649.05
1.908686,45.803110,649.14
1.908839,45.802912,649.45
1.908931,45.802703,649.05
1.909087,45.802534,649.08
1.909324,45.802393,649.36
1.909471,45.802194,649.07
1.909594,45.801987,649.08
1.909610,45.801764,649.23
1.909777,45.801592,648.97
1.910091,45.801589,649.03
1.910408,45.801592,649.10
1.910677,45.801474,650.45
1.910892,45.801307,649.39
1.911064,45.801118,649.04
1.911228,45.800926,649.32
1.911496,45.800803,649.61
1.911778,45.800696,649.56
1.912073,45.800606,650.16
1.912328,45.800471,649.70
1.912435,45.800261,648.93
1.912587,45.800084,649.12
1.912726,45.799892,648.87
1.912897,45.799706,648.99
1.913047,45.799516,649.23
1.913053,45.799292,649.18
1.913133,45.799078,649.16
1.913062,45.798863,649.13
1.912884,45.798676,649.02
1.912734,45.798479,649.03
1.912789,45.798270,649.29
1.912988,45.798094,649.11
1.913215,45.797937,649.24
1.913479,45.797816,649.23
1.913730,45.797679,649.44
1.914016,45.797577,649.13
1.914310,45.797485,649.03
1.914590,45.797375,649.30
1.914741,45.797183,648.85
1.914828,45.796968,649.08
1.914812,45.796744,649.16
1.914961,45.796592,648.92
1.915161,45.796422,648.99
1.915365,45.796252,649.42
1.915552,45.796070,649.29
1.915771,45.795911,649.53
1.916051,45.795805,649.63
1.916289,45.795654,649.54
1.916532,45.795506,649.19
1.916807,45.795396,649.43
1.917038,45.795242,649.69
1.917242,45.795068,649.01
1.917484,45.794926,649.49
1.917630,45.794729,649.09
1.917831,45.794554,649.46
1.917972,45.794352,649.38
1.918060,45.794136,649.29
1.918174,45.793927,649.04
1.918312,45.793726,649.11
1.918496,45.793542,649.31
1.918687,45.793361,649.40
1.918897,45.793204,649.90
1.918991,45.792997,649.33
1.919085,45.792789,649.27
1.919142,45.792568,649.28
1.919294,45.792373,649.26
1.919377,45.792186,649.17
1.919071,45.792163,649.06
1.918755,45.792124,649.20
1.918504,45.792228,649.22
